first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Grigoris,Bithikotsis,"https://open.spotify.com/artist/1baJfj5CCxPO9VEzlGSBLm?autoplay=true
","https://www.youtube.com/channel/UCcF9O3Qk0SnBY7Vv6J6GudA
",https://www.youtube.com/channel/UCcF9O3Qk0SnBY7Vv6J6GudA,,singer,
Themis,Adamantidis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/adamantidis.jpg
","https://open.spotify.com/artist/5HYu4OrohE4gwR7IlHpbt8
","https://www.youtube.com/channel/UCiH9ooAZZMKaRlSXSscF5ow
",,singer,
Ivi,Adamou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/adamou.jpg
","https://open.spotify.com/artist/2arQ0lfcNGLrJOHoJksWOw
","https://www.youtube.com/channel/UCiLz1zI_iOZ7U4Qag_TpjNg
",,singer,
Argiris,Aggelou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/aggelou.jpg,,,,actor,
Alekos,Alexandrakis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/alexandrakis.jpg,,,,actor,
Haris,Alexiou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/alexiou.jpg
","https://open.spotify.com/artist/4cgCxnsmy9kDcl3oA2BYRY
","https://www.youtube.com/@harisalexiou
",,singer,
Antonis,Antoniou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/antoniou.jpg,,,,actor,
Alexandros,Antonopoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/antonopoulos.jpg,,,,actor,
Konstantinos,Argiros,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/argiros.jpg
","https://open.spotify.com/artist/5YquORfLTx6nWMlBzJstx7
","https://www.youtube.com/@ArgirosTv
",,singer,
Bessy,Argyraki,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/argyraki.jpg
","https://open.spotify.com/artist/5DTwDoKhFUfYkBNuM3ipTq
","https://www.youtube.com/channel/UC7q1y87wbNTxQlCIvC71_rA
",,singer,
Mairi,Aroni,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/aroni.jpg,,,,actor,
Eleftheria,Arvanitaki,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/arvanitaki.jpg
","https://open.spotify.com/artist/4wfucl2s2farNOAmxZAVTC
","https://www.youtube.com/channel/UCIbWLE6v5CrboShvX8PrOnw
",,singer,
Melina,Aslanidou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/aslanidou.jpg
","https://open.spotify.com/artist/0q6umZk2e14mheMLEQLFCJ
","https://www.youtube.com/channel/UCMuxjZloXeqrq_wNggzt94g
",,singer,
Thodoris,Atheridis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/atheridis.jpg,,,,actor,
Vasilis,Avlonitis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/avlonitis.jpg,,,,actor,
Andreas,Barkoulis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/barkoulis.jpg,,,,actor,
Giannis,Bezos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/bezos.jpg,,,,actor,
Natassa,Bofiliou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/bofiliou.jpg
","https://open.spotify.com/artist/3ujPrFnLXVgRRelOhW1E2t
","https://www.youtube.com/@NatassaBofiliouOfficial
",,singer,
Kostas,Chatzichristos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/chatzichristos.jpg,,,,actor,
Dimitris,Chorn,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/chorn.jpg,,,,actor,
Giorgos,Dalaras,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/dalaras.jpg
","https://open.spotify.com/artist/0eLU3EgFDZOFgd2Dwalfwo
","https://www.youtube.com/channel/UCGhuEp28dWW0emPnc0ag1fw
",,singer,
Litsa,Diamanti,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/diamanti.jpg
","https://open.spotify.com/artist/4ZVlnsWbTKXoTcP2CbGHZ6?autoplay=true
","https://www.youtube.com/channel/UCw6JWpKAWTEe5Ne71Dd4lKg
",,singer,
